nazwa;nazwa ogólna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSZ_018;Szuflada zewnętrzna;fornir orzech mat;1196;;;420;374
KSZ_019;Szuflada zewnętrzna;fornir orzech mat;1230;;;479;329
KSZ_019;Szuflada zewnętrzna;fornir orzech mat;1230;;;479;374
KSZ_020;Szuflada zewnętrzna;fornir orzech mat;1257;;;523;329
KSZ_020;Szuflada zewnętrzna;fornir orzech mat;1257;;;523;374
KSZ_021;Szuflada zewnętrzna;fornir orzech mat;1382;;;729;329
KSZ_021;Szuflada zewnętrzna;fornir orzech mat;1382;;;729;374
KSZ_022;Szuflada zewnętrzna;fornir orzech mat;1129;;;229;420
KSZ_023;Szuflada zewnętrzna;fornir orzech mat;1201;;;329;420
KSZ_024;Szuflada zewnętrzna;fornir orzech mat;1234;;;374;420
KSZ_025;Szuflada zewnętrzna;fornir orzech mat;1267;;;420;420
KSZ_026;Szuflada zewnętrzna;fornir orzech mat;1311;;;479;420
KSZ_027;Szuflada zewnętrzna;fornir orzech mat;1342;;;523;420
KSZ_028;Szuflada zewnętrzna;fornir orzech mat;1492;;;729;420
KSZ_001;Szuflada zewnętrzna;fornir orzech polysk;1005;;;229;154
KSZ_002;Szuflada zewnętrzna;fornir orzech polysk;1049;;;329;154
KSZ_003;Szuflada zewnętrzna;fornir orzech polysk;1068;;;374;154
KSZ_004;Szuflada zewnętrzna;fornir orzech polysk;1087;;;420;154
KSZ_005;Szuflada zewnętrzna;fornir orzech polysk;1112;;;479;154
KSZ_006;Szuflada zewnętrzna;fornir orzech polysk;1131;;;523;154
KSZ_007;Szuflada zewnętrzna;fornir orzech polysk;1220;;;729;154
KSZ_008;Szuflada zewnętrzna;fornir orzech polysk;1044;;;229;229
KSZ_009;Szuflada zewnętrzna;fornir orzech polysk;1096;;;329;229
KSZ_010;Szuflada zewnętrzna;fornir orzech polysk;1119;;;374;229
KSZ_011;Szuflada zewnętrzna;fornir orzech polysk;1143;;;420;229
KSZ_012;Szuflada zewnętrzna;fornir orzech polysk;1175;;;479;229
KSZ_013;Szuflada zewnętrzna;fornir orzech polysk;1197;;;523;229
KSZ_014;Szuflada zewnętrzna;fornir orzech polysk;1307;;;729;229
KSZ_015;Szuflada zewnętrzna;fornir orzech polysk;1079;;;229;329
KSZ_015;Szuflada zewnętrzna;fornir orzech polysk;1079;;;229;374
KSZ_016;Szuflada zewnętrzna;fornir orzech polysk;1140;;;329;374
KSZ_016;Szuflada zewnętrzna;fornir orzech polysk;1140;;;329;329
KSZ_017;Szuflada zewnętrzna;fornir orzech polysk;1168;;;374;329
KSZ_017;Szuflada zewnętrzna;fornir orzech polysk;1168;;;374;374
KSZ_018;Szuflada zewnętrzna;fornir orzech polysk;1196;;;420;329
KSZ_018;Szuflada zewnętrzna;fornir orzech polysk;1196;;;420;374
KSZ_019;Szuflada zewnętrzna;fornir orzech polysk;1230;;;479;329
KSZ_019;Szuflada zewnętrzna;fornir orzech polysk;1230;;;479;374
KSZ_020;Szuflada zewnętrzna;fornir orzech polysk;1257;;;523;329
KSZ_020;Szuflada zewnętrzna;fornir orzech polysk;1257;;;523;374
KSZ_021;Szuflada zewnętrzna;fornir orzech polysk;1382;;;729;329
KSZ_021;Szuflada zewnętrzna;fornir orzech polysk;1382;;;729;374
KSZ_022;Szuflada zewnętrzna;fornir orzech polysk;1129;;;229;420
KSZ_023;Szuflada zewnętrzna;fornir orzech polysk;1201;;;329;420
KSZ_024;Szuflada zewnętrzna;fornir orzech polysk;1234;;;374;420
KSZ_025;Szuflada zewnętrzna;fornir orzech polysk;1267;;;420;420
KSZ_026;Szuflada zewnętrzna;fornir orzech polysk;1311;;;479;420
KSZ_027;Szuflada zewnętrzna;fornir orzech polysk;1342;;;523;420
KSZ_028;Szuflada zewnętrzna;fornir orzech polysk;1492;;;729;420
