nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSZ_011;Szuflada zewnętrzna;PC polysk;1215;;;420;154
KSZ_012;Szuflada zewnętrzna;PC polysk;1248;;;479;154
KSZ_013;Szuflada zewnętrzna;PC polysk;1272;;;523;154
KSZ_014;Szuflada zewnętrzna;PC polysk;1388;;;729;154
KSZ_015;Szuflada zewnętrzna;PC polysk;1146;;;229;229
KSZ_016;Szuflada zewnętrzna;PC polysk;1211;;;329;229
KSZ_017;Szuflada zewnętrzna;PC polysk;1240;;;374;229
KSZ_018;Szuflada zewnętrzna;PC polysk;1270;;;420;229
KSZ_019;Szuflada zewnętrzna;PC polysk;1307;;;479;229
KSZ_020;Szuflada zewnętrzna;PC polysk;1334;;;523;229
KSZ_021;Szuflada zewnętrzna;PC polysk;1467;;;729;229
KSZ_022;Szuflada zewnętrzna;PC polysk;1200;;;229;329
KSZ_023;Szuflada zewnętrzna;PC polysk;1275;;;329;329
KSZ_024;Szuflada zewnętrzna;PC polysk;1310;;;374;329
KSZ_025;Szuflada zewnętrzna;PC polysk;1346;;;420;329
KSZ_026;Szuflada zewnętrzna;PC polysk;1392;;;479;329
KSZ_027;Szuflada zewnętrzna;PC polysk;1425;;;523;329
KSZ_028;Szuflada zewnętrzna;PC polysk;1584;;;729;329
KSZ_029;Szuflada zewnętrzna;PC polysk;1226;;;229;374
KSZ_030;Szuflada zewnętrzna;PC polysk;1309;;;329;374
KSZ_031;Szuflada zewnętrzna;PC polysk;1346;;;374;374
KSZ_032;Szuflada zewnętrzna;PC polysk;1382;;;420;374
KSZ_033;Szuflada zewnętrzna;PC polysk;1432;;;479;374
KSZ_034;Szuflada zewnętrzna;PC polysk;1469;;;523;374
KSZ_035;Szuflada zewnętrzna;PC polysk;1639;;;729;374
KSZ_036;Szuflada zewnętrzna;PC polysk;1259;;;229;420
KSZ_037;Szuflada zewnętrzna;PC polysk;1349;;;329;420
KSZ_038;Szuflada zewnętrzna;PC polysk;1390;;;374;420
KSZ_039;Szuflada zewnętrzna;PC polysk;1430;;;420;420
KSZ_040;Szuflada zewnętrzna;PC polysk;1482;;;479;420
KSZ_041;Szuflada zewnętrzna;PC polysk;1523;;;523;420
KSZ_042;Szuflada zewnętrzna;PC polysk;1705;;;729;420
KSZ_001;Szuflada zewnętrzna;fornir dab mat;1099;;;229;79
KSZ_002;Szuflada zewnętrzna;fornir dab mat;1156;;;329;79
KSZ_003;Szuflada zewnętrzna;fornir dab mat;1182;;;374;79
KSZ_004;Szuflada zewnętrzna;fornir dab mat;1208;;;420;79
KSZ_005;Szuflada zewnętrzna;fornir dab mat;1242;;;479;79
KSZ_006;Szuflada zewnętrzna;fornir dab mat;1267;;;523;79
KSZ_007;Szuflada zewnętrzna;fornir dab mat;1384;;;729;79
KSZ_008;Szuflada zewnętrzna;fornir dab mat;1161;;;229;154
KSZ_009;Szuflada zewnętrzna;fornir dab mat;1236;;;329;154
KSZ_010;Szuflada zewnętrzna;fornir dab mat;1269;;;374;154
KSZ_011;Szuflada zewnętrzna;fornir dab mat;1303;;;420;154
KSZ_012;Szuflada zewnętrzna;fornir dab mat;1347;;;479;154
KSZ_013;Szuflada zewnętrzna;fornir dab mat;1380;;;523;154
KSZ_014;Szuflada zewnętrzna;fornir dab mat;1538;;;729;154
KSZ_015;Szuflada zewnętrzna;fornir dab mat;1218;;;229;229
KSZ_016;Szuflada zewnętrzna;fornir dab mat;1310;;;329;229
KSZ_017;Szuflada zewnętrzna;fornir dab mat;1351;;;374;229
KSZ_018;Szuflada zewnętrzna;fornir dab mat;1393;;;420;229
KSZ_019;Szuflada zewnętrzna;fornir dab mat;1448;;;479;229
KSZ_020;Szuflada zewnętrzna;fornir dab mat;1488;;;523;229
KSZ_021;Szuflada zewnętrzna;fornir dab mat;1677;;;729;229
KSZ_022;Szuflada zewnętrzna;fornir dab mat;1298;;;229;329
KSZ_023;Szuflada zewnętrzna;fornir dab mat;1413;;;329;329
KSZ_024;Szuflada zewnętrzna;fornir dab mat;1465;;;374;329
KSZ_025;Szuflada zewnętrzna;fornir dab mat;1518;;;420;329
KSZ_026;Szuflada zewnętrzna;fornir dab mat;1585;;;479;329
KSZ_027;Szuflada zewnętrzna;fornir dab mat;1636;;;523;329
KSZ_028;Szuflada zewnętrzna;fornir dab mat;1873;;;729;329
KSZ_029;Szuflada zewnętrzna;fornir dab mat;1337;;;229;374
KSZ_030;Szuflada zewnętrzna;fornir dab mat;1462;;;329;374
KSZ_031;Szuflada zewnętrzna;fornir dab mat;1519;;;374;374
KSZ_032;Szuflada zewnętrzna;fornir dab mat;1577;;;420;374
KSZ_033;Szuflada zewnętrzna;fornir dab mat;1651;;;479;374
KSZ_034;Szuflada zewnętrzna;fornir dab mat;1706;;;523;374
KSZ_035;Szuflada zewnętrzna;fornir dab mat;1964;;;729;374
KSZ_036;Szuflada zewnętrzna;fornir dab mat;1384;;;229;420
KSZ_037;Szuflada zewnętrzna;fornir dab mat;1521;;;329;420
KSZ_038;Szuflada zewnętrzna;fornir dab mat;1582;;;374;420
KSZ_039;Szuflada zewnętrzna;fornir dab mat;1645;;;420;420
KSZ_040;Szuflada zewnętrzna;fornir dab mat;1726;;;479;420
KSZ_041;Szuflada zewnętrzna;fornir dab mat;1786;;;523;420
KSZ_042;Szuflada zewnętrzna;fornir dab mat;2068;;;729;420
KSZ_001;Szuflada zewnętrzna;fornir orzech mat;1105;;;229;79
KSZ_002;Szuflada zewnętrzna;fornir orzech mat;1164;;;329;79
KSZ_003;Szuflada zewnętrzna;fornir orzech mat;1191;;;374;79
KSZ_004;Szuflada zewnętrzna;fornir orzech mat;1218;;;420;79
KSZ_005;Szuflada zewnętrzna;fornir orzech mat;1253;;;479;79
KSZ_006;Szuflada zewnętrzna;fornir orzech mat;1279;;;523;79
KSZ_007;Szuflada zewnętrzna;fornir orzech mat;1401;;;729;79
KSZ_008;Szuflada zewnętrzna;fornir orzech mat;1171;;;229;154
KSZ_009;Szuflada zewnętrzna;fornir orzech mat;1249;;;329;154
KSZ_010;Szuflada zewnętrzna;fornir orzech mat;1284;;;374;154
KSZ_011;Szuflada zewnętrzna;fornir orzech mat;1320;;;420;154
KSZ_012;Szuflada zewnętrzna;fornir orzech mat;1366;;;479;154
KSZ_013;Szuflada zewnętrzna;fornir orzech mat;1401;;;523;154
KSZ_014;Szuflada zewnętrzna;fornir orzech mat;1566;;;729;154
KSZ_015;Szuflada zewnętrzna;fornir orzech mat;1232;;;229;229
KSZ_016;Szuflada zewnętrzna;fornir orzech mat;1329;;;329;229
KSZ_017;Szuflada zewnętrzna;fornir orzech mat;1373;;;374;229
KSZ_018;Szuflada zewnętrzna;fornir orzech mat;1417;;;420;229
KSZ_019;Szuflada zewnętrzna;fornir orzech mat;1474;;;479;229
KSZ_020;Szuflada zewnętrzna;fornir orzech mat;1517;;;523;229
KSZ_021;Szuflada zewnętrzna;fornir orzech mat;1717;;;729;229
KSZ_022;Szuflada zewnętrzna;fornir orzech mat;1317;;;229;329
KSZ_023;Szuflada zewnętrzna;fornir orzech mat;1439;;;329;329
KSZ_024;Szuflada zewnętrzna;fornir orzech mat;1494;;;374;329
KSZ_025;Szuflada zewnętrzna;fornir orzech mat;1550;;;420;329
KSZ_026;Szuflada zewnętrzna;fornir orzech mat;1623;;;479;329
KSZ_027;Szuflada zewnętrzna;fornir orzech mat;1676;;;523;329
KSZ_028;Szuflada zewnętrzna;fornir orzech mat;1928;;;729;329
KSZ_029;Szuflada zewnętrzna;fornir orzech mat;1358;;;229;374
KSZ_030;Szuflada zewnętrzna;fornir orzech mat;1492;;;329;374
KSZ_031;Szuflada zewnętrzna;fornir orzech mat;1552;;;374;374
KSZ_032;Szuflada zewnętrzna;fornir orzech mat;1613;;;420;374
KSZ_033;Szuflada zewnętrzna;fornir orzech mat;1692;;;479;374
KSZ_034;Szuflada zewnętrzna;fornir orzech mat;1751;;;523;374
KSZ_035;Szuflada zewnętrzna;fornir orzech mat;2026;;;729;374
KSZ_036;Szuflada zewnętrzna;fornir orzech mat;1408;;;229;420
KSZ_037;Szuflada zewnętrzna;fornir orzech mat;1554;;;329;420
KSZ_038;Szuflada zewnętrzna;fornir orzech mat;1619;;;374;420
KSZ_039;Szuflada zewnętrzna;fornir orzech mat;1686;;;420;420
KSZ_040;Szuflada zewnętrzna;fornir orzech mat;1773;;;479;420
KSZ_041;Szuflada zewnętrzna;fornir orzech mat;1837;;;523;420
KSZ_042;Szuflada zewnętrzna;fornir orzech mat;2137;;;729;420
KSZ_001;Szuflada zewnętrzna;fornir orzech polysk;1123;;;229;79
KSZ_002;Szuflada zewnętrzna;fornir orzech polysk;1189;;;329;79
KSZ_003;Szuflada zewnętrzna;fornir orzech polysk;1218;;;374;79
KSZ_004;Szuflada zewnętrzna;fornir orzech polysk;1249;;;420;79
KSZ_005;Szuflada zewnętrzna;fornir orzech polysk;1288;;;479;79
KSZ_006;Szuflada zewnętrzna;fornir orzech polysk;1317;;;523;79
KSZ_007;Szuflada zewnętrzna;fornir orzech polysk;1453;;;729;79
KSZ_008;Szuflada zewnętrzna;fornir orzech polysk;1200;;;229;154
KSZ_009;Szuflada zewnętrzna;fornir orzech polysk;1290;;;329;154
KSZ_010;Szuflada zewnętrzna;fornir orzech polysk;1330;;;374;154
KSZ_011;Szuflada zewnętrzna;fornir orzech polysk;1371;;;420;154
KSZ_012;Szuflada zewnętrzna;fornir orzech polysk;1424;;;479;154
KSZ_013;Szuflada zewnętrzna;fornir orzech polysk;1464;;;523;154
KSZ_014;Szuflada zewnętrzna;fornir orzech polysk;1653;;;729;154
KSZ_015;Szuflada zewnętrzna;fornir orzech polysk;1274;;;229;229
KSZ_016;Szuflada zewnętrzna;fornir orzech polysk;1386;;;329;229
KSZ_017;Szuflada zewnętrzna;fornir orzech polysk;1437;;;374;229
KSZ_018;Szuflada zewnętrzna;fornir orzech polysk;1489;;;420;229
KSZ_019;Szuflada zewnętrzna;fornir orzech polysk;1556;;;479;229
KSZ_020;Szuflada zewnętrzna;fornir orzech polysk;1605;;;523;229
KSZ_021;Szuflada zewnętrzna;fornir orzech polysk;1838;;;729;229
KSZ_022;Szuflada zewnętrzna;fornir orzech polysk;1375;;;229;329
KSZ_023;Szuflada zewnętrzna;fornir orzech polysk;1519;;;329;329
KSZ_024;Szuflada zewnętrzna;fornir orzech polysk;1584;;;374;329
KSZ_025;Szuflada zewnętrzna;fornir orzech polysk;1650;;;420;329
KSZ_026;Szuflada zewnętrzna;fornir orzech polysk;1735;;;479;329
KSZ_027;Szuflada zewnętrzna;fornir orzech polysk;1798;;;523;329
KSZ_028;Szuflada zewnętrzna;fornir orzech polysk;2095;;;729;329
KSZ_029;Szuflada zewnętrzna;fornir orzech polysk;1423;;;229;374
KSZ_030;Szuflada zewnętrzna;fornir orzech polysk;1581;;;329;374
KSZ_031;Szuflada zewnętrzna;fornir orzech polysk;1652;;;374;374
KSZ_032;Szuflada zewnętrzna;fornir orzech polysk;1725;;;420;374
KSZ_033;Szuflada zewnętrzna;fornir orzech polysk;1819;;;479;374
KSZ_034;Szuflada zewnętrzna;fornir orzech polysk;1888;;;523;374
KSZ_035;Szuflada zewnętrzna;fornir orzech polysk;2215;;;729;374
KSZ_036;Szuflada zewnętrzna;fornir orzech polysk;1479;;;229;420
KSZ_037;Szuflada zewnętrzna;fornir orzech polysk;1653;;;329;420
KSZ_038;Szuflada zewnętrzna;fornir orzech polysk;1731;;;374;420
KSZ_039;Szuflada zewnętrzna;fornir orzech polysk;1811;;;420;420
KSZ_040;Szuflada zewnętrzna;fornir orzech polysk;1913;;;479;420
KSZ_041;Szuflada zewnętrzna;fornir orzech polysk;1989;;;523;420
KSZ_042;Szuflada zewnętrzna;fornir orzech polysk;2347;;;729;420
